,open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore,market_name
168,1570752000000,0.01610000,0.01766000,0.01529000,0.01580000,776515586.00000000,1570838399999,12834236.34540800,29588,382732339.80000000,6339894.21640300,0,MATICUSDT
169,1570838400000,0.01580000,0.01650000,0.01452000,0.01555000,495026909.40000000,1570924799999,7528763.35212800,18869,217953031.20000000,3321073.37844700,0,MATICUSDT
170,1570924800000,0.01555000,0.01568000,0.01408000,0.01494000,225545366.00000000,1571011199999,3341442.78868900,9158,104997041.60000000,1554510.75776500,0,MATICUSDT
171,1571011200000,0.01493000,0.01672000,0.01485000,0.01522000,475384929.10000000,1571097599999,7357629.37422900,18192,221328568.50000000,3423167.35555600,0,MATICUSDT
172,1571097600000,0.01523000,0.01539000,0.01411000,0.01437000,240211695.50000000,1571183999999,3543272.17255600,10023,104854033.70000000,1553380.82925600,0,MATICUSDT
173,1571184000000,0.01434000,0.01447000,0.01283000,0.01386000,255790740.00000000,1571270399999,3485410.34679200,10021,114672671.00000000,1563780.71800200,0,MATICUSDT
174,1571270400000,0.01386000,0.01458000,0.01348000,0.01425000,183009067.30000000,1571356799999,2591677.11165300,7558,93654044.90000000,1327148.25878800,0,MATICUSDT
175,1571356800000,0.01425000,0.01443000,0.01300000,0.01334000,190539827.50000000,1571443199999,2588230.55964900,7300,83514024.60000000,1139285.08582300,0,MATICUSDT
176,1571443200000,0.01333000,0.01389000,0.01302000,0.01376000,136027755.20000000,1571529599999,1826776.52216100,5796,68573792.70000000,922953.68143400,0,MATICUSDT
177,1571529600000,0.01376000,0.01403000,0.01320000,0.01376000,127160718.20000000,1571615999999,1731481.90694700,5042,58709720.30000000,800952.16652400,0,MATICUSDT
178,1571616000000,0.01380000,0.01516000,0.01354000,0.01491000,336082470.10000000,1571702399999,4907148.39022900,12661,155455935.70000000,2267605.61568100,0,MATICUSDT
179,1571702400000,0.01491000,0.01533000,0.01430000,0.01443000,242262152.90000000,1571788799999,3607527.12279500,9310,122562838.40000000,1829013.62868400,0,MATICUSDT
180,1571788800000,0.01443000,0.01463000,0.01259000,0.01326000,332302515.90000000,1571875199999,4513647.26599000,11161,138803846.90000000,1890432.27543700,0,MATICUSDT
181,1571875200000,0.01322000,0.01383000,0.01289000,0.01338000,176823245.60000000,1571961599999,2378710.36452400,6723,80344187.60000000,1081259.76057300,0,MATICUSDT
182,1571961600000,0.01338000,0.01474000,0.01300000,0.01435000,319745672.80000000,1572047999999,4462126.58716800,11471,161300947.40000000,2257272.65646800,0,MATICUSDT
