,open_time,,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore,market_name
17,1.58907E+12,2020/05/10 00:00:00.000,0.03235,0.03239,0.02639,0.02921,24370566.7,1.58916E+12,702633.4575,4804,10717027.6,306521.364,0,CTSIUSDT
18,1.58916E+12,2020/05/11 00:00:00.000,0.02921,0.03125,0.02713,0.02751,16118332,1.58924E+12,467206.4372,3320,6822794.8,198368.4493,0,CTSIUSDT
19,1.58924E+12,2020/05/12 00:00:00.000,0.02751,0.0311,0.02699,0.0289,17895866,1.58933E+12,521547.5862,3425,8328690.4,243287.2521,0,CTSIUSDT
20,1.58933E+12,2020/05/13 00:00:00.000,0.029,0.03016,0.02843,0.02978,11061721.7,1.58941E+12,323722.5509,2040,4952982.3,145416.7171,0,CTSIUSDT
21,1.58941E+12,2020/05/14 00:00:00.000,0.02978,0.03066,0.02826,0.02854,12654325.6,1.5895E+12,368898.5334,2450,5311986.2,155757.205,0,CTSIUSDT
22,1.5895E+12,2020/05/15 00:00:00.000,0.02864,0.02944,0.02777,0.02793,6969870.4,1.58959E+12,199848.4536,1314,2599549.4,74696.75754,0,CTSIUSDT
23,1.58959E+12,2020/05/16 00:00:00.000,0.02815,0.02902,0.02766,0.02888,6972997.9,1.58967E+12,199824.527,1268,3462434.1,99732.5766,0,CTSIUSDT
24,1.58967E+12,2020/05/17 00:00:00.000,0.02898,0.03989,0.02891,0.0371,51217692.5,1.58976E+12,1722524.726,10065,28971582.1,973949.7132,0,CTSIUSDT
25,1.58976E+12,2020/05/18 00:00:00.000,0.0371,0.042,0.0354,0.03601,70954549.7,1.58985E+12,2745351.916,14444,33493475.8,1299416.138,0,CTSIUSDT
26,1.58985E+12,2020/05/19 00:00:00.000,0.03602,0.03962,0.03341,0.03793,53704827.1,1.58993E+12,1949749.369,9839,24218386.1,886936.9146,0,CTSIUSDT
27,1.58993E+12,2020/05/20 00:00:00.000,0.03778,0.04058,0.03521,0.03901,47233419.7,1.59002E+12,1803404.248,10368,23653641.7,905230.5402,0,CTSIUSDT
28,1.59002E+12,2020/05/21 00:00:00.000,0.03901,0.04366,0.03201,0.03282,57820058.1,1.59011E+12,2179068.752,12078,23215566.7,884821.0827,0,CTSIUSDT
29,1.59011E+12,2020/05/22 00:00:00.000,0.033,0.03689,0.0321,0.03361,33644934.9,1.59019E+12,1137260.927,6722,13329482.9,453373.0725,0,CTSIUSDT
30,1.59019E+12,2020/05/23 00:00:00.000,0.03366,0.0349,0.0321,0.03254,12711586.5,1.59028E+12,423185.9901,2635,5202661.5,173555.2564,0,CTSIUSDT
31,1.59028E+12,2020/05/24 00:00:00.000,0.03255,0.034,0.0304,0.03068,15559085.4,1.59036E+12,510994.1465,3366,6310015.2,208476.8858,0,CTSIUSDT
32,1.59036E+12,2020/05/25 00:00:00.000,0.0304,0.03484,0.02962,0.03376,25887493.1,1.59045E+12,834955.6184,5201,12169059.4,395185.8674,0,CTSIUSDT
33,1.59045E+12,2020/05/26 00:00:00.000,0.03387,0.03676,0.03181,0.03242,31828475.4,1.59054E+12,1095803.691,7298,13498954.1,465314.553,0,CTSIUSDT
34,1.59054E+12,2020/05/27 00:00:00.000,0.0324,0.03314,0.031,0.03123,15985995.6,1.59062E+12,510814.7378,3919,5702522.6,182734.4179,0,CTSIUSDT
35,1.59062E+12,2020/05/28 00:00:00.000,0.03124,0.0326,0.03,0.03125,14618964.5,1.59071E+12,458470.832,4632,5428001.4,171231.7382,0,CTSIUSDT
36,1.59071E+12,2020/05/29 00:00:00.000,0.03121,0.03797,0.0309,0.03589,47464691.4,1.5908E+12,1625670.983,11550,24333723.9,834204.4108,0,CTSIUSDT
37,1.5908E+12,2020/05/30 00:00:00.000,0.03606,0.0372,0.03325,0.03444,28277049.6,1.59088E+12,994693.8144,7714,11649033.5,410997.9399,0,CTSIUSDT
38,1.59088E+12,2020/05/31 00:00:00.000,0.03444,0.03572,0.03182,0.03198,14906613,1.59097E+12,503054.9363,4724,6136039.7,207784.9103,0,CTSIUSDT
39,1.59097E+12,2020/06/01 00:00:00.000,0.0319,0.03395,0.03181,0.0327,10520334.2,1.59106E+12,345367.8608,4442,3585403.6,118007.5759,0,CTSIUSDT
40,1.59106E+12,2020/06/02 00:00:00.000,0.03269,0.0334,0.03026,0.03198,12312931.6,1.59114E+12,393573.0394,4385,4940035.4,158527.3953,0,CTSIUSDT
41,1.59114E+12,2020/06/03 00:00:00.000,0.03183,0.0329,0.03108,0.03175,10226872.3,1.59123E+12,325788.8257,3431,4782452.1,152358.7839,0,CTSIUSDT
42,1.59123E+12,2020/06/04 00:00:00.000,0.03175,0.03289,0.03151,0.03198,9314989.4,1.59132E+12,299683.6499,2197,4066848.1,131396.9563,0,CTSIUSDT
43,1.59132E+12,2020/06/05 00:00:00.000,0.03198,0.03549,0.03183,0.03394,17128964.9,1.5914E+12,576751.5135,4030,8907536.9,299569.0613,0,CTSIUSDT
44,1.5914E+12,2020/06/06 00:00:00.000,0.03387,0.03748,0.03328,0.03492,30022067.2,1.59149E+12,1071076.461,6898,13305595.7,475387.0131,0,CTSIUSDT
45,1.59149E+12,2020/06/07 00:00:00.000,0.03492,0.03589,0.03222,0.03331,16261047.8,1.59157E+12,551429.9027,3570,6792741.9,231155.8486,0,CTSIUSDT
46,1.59157E+12,2020/06/08 00:00:00.000,0.03324,0.03586,0.03233,0.03264,21706851.3,1.59166E+12,734686.159,5201,7418166.2,252366.4684,0,CTSIUSDT
47,1.59166E+12,2020/06/09 00:00:00.000,0.03278,0.0333,0.0317,0.03245,18914118.5,1.59175E+12,614152.8288,4080,6257705.7,203840.5589,0,CTSIUSDT
48,1.59175E+12,2020/06/10 00:00:00.000,0.03245,0.0354,0.03232,0.0335,25961534.1,1.59183E+12,870756.2185,5918,14391373.1,485660.7526,0,CTSIUSDT
49,1.59183E+12,2020/06/11 00:00:00.000,0.03351,0.03635,0.03129,0.03632,38058775.7,1.59192E+12,1288565.689,8569,18140452.4,618856.4144,0,CTSIUSDT
50,1.59192E+12,2020/06/12 00:00:00.000,0.03635,0.0429,0.03388,0.03971,105459523.3,1.59201E+12,4084407.955,23571,49773272.3,1930441.531,0,CTSIUSDT
51,1.59201E+12,2020/06/13 00:00:00.000,0.03971,0.0412,0.03611,0.03978,26387257.6,1.59209E+12,1015917.961,6745,12989298.7,501690.0242,0,CTSIUSDT
