,open_time,,open,close,,,highest,lowest,volume,amount,market_name
17,1584748800,2020/3/21,5.00E-08,5.00E-08,6186.98,0.000309349,5.00E-08,5.00E-08,0,0,SWC_BTC
18,1584835200,2020/3/22,3.30E-07,1.00E-08,5861.87,5.86187E-05,3.30E-07,1.00E-08,583,0.00010311,SWC_BTC
19,1584921600,2020/3/23,1.00E-08,1.00E-08,6333.38,6.33338E-05,1.00E-08,1.00E-08,0,0,SWC_BTC
20,1585008000,2020/3/24,1.00E-08,1.00E-08,6744.72,6.74472E-05,1.00E-08,1.00E-08,0,0,SWC_BTC
21,1585094400,2020/3/25,1.00E-08,1.00E-08,6523.75,6.52375E-05,1.00E-08,1.00E-08,0,0,SWC_BTC
22,1585180800,2020/3/26,1.00E-08,1.00E-08,6737.36,6.73736E-05,1.00E-08,1.00E-08,0,0,SWC_BTC
23,1585267200,2020/3/27,1.00E-08,1.00E-08,6470.58,6.47058E-05,1.00E-08,1.00E-08,0,0,SWC_BTC
24,1585353600,2020/3/28,1.00E-08,1.00E-08,6237.82,6.23782E-05,1.00E-08,1.00E-08,0,0,SWC_BTC
25,1585440000,2020/3/29,1.00E-08,1.00E-08,5881.42,5.88142E-05,1.00E-08,1.00E-08,0,0,SWC_BTC
26,1585526400,2020/3/30,1.00E-08,1.00E-08,6394.38,6.39438E-05,1.00E-08,1.00E-08,0,0,SWC_BTC
27,1585612800,2020/3/31,1.10E-07,1.10E-07,6410.44,0.000705148,1.10E-07,1.10E-07,4721,0.00051931,SWC_BTC
28,1585699200,2020/4/1,1.10E-07,1.10E-07,6480.84,0.000712892,1.10E-07,1.10E-07,0,0,SWC_BTC
29,1585785600,2020/4/2,1.10E-07,1.10E-07,6794.09,0.00074735,1.10E-07,1.10E-07,0,0,SWC_BTC
30,1585872000,2020/4/3,1.10E-07,1.10E-07,6703.34,0.000737367,1.10E-07,1.10E-07,0,0,SWC_BTC
31,1585958400,2020/4/4,1.10E-07,1.10E-07,6755.61,0.000743117,1.10E-07,1.10E-07,0,0,SWC_BTC
32,1586044800,2020/4/5,1.10E-07,1.10E-07,6797.7,0.000747747,1.10E-07,1.10E-07,0,0,SWC_BTC
33,1586131200,2020/4/6,1.10E-07,1.10E-07,7156.2,0.000787182,1.10E-07,1.10E-07,0,0,SWC_BTC
34,1586217600,2020/4/7,1.10E-07,1.10E-07,7063.23,0.000776955,1.10E-07,1.10E-07,0,0,SWC_BTC
35,1586304000,2020/4/8,1.10E-07,1.10E-07,7220.33,0.000794236,1.10E-07,1.10E-07,0,0,SWC_BTC
36,1586390400,2020/4/9,1.10E-07,1.10E-07,7226.67,0.000794934,1.10E-07,1.10E-07,0,0,SWC_BTC
37,1586476800,2020/4/10,1.10E-07,1.10E-07,7000,0.00077,1.10E-07,1.10E-07,0,0,SWC_BTC
38,1586563200,2020/4/11,1.10E-07,1.10E-07,6876.83,0.000756451,1.10E-07,1.10E-07,0,0,SWC_BTC
39,1586649600,2020/4/12,1.10E-07,1.10E-07,7004.93,0.000770542,1.10E-07,1.10E-07,0,0,SWC_BTC
40,1586736000,2020/4/13,1.10E-07,1.10E-07,6838.04,0.000752184,1.10E-07,1.10E-07,0,0,SWC_BTC
41,1586822400,2020/4/14,1.00E-07,1.10E-07,6868.7,0.000755557,1.10E-07,1.00E-07,11928,0.00128476,SWC_BTC
42,1586908800,2020/4/15,1.10E-07,1.10E-07,6733.33,0.000740666,1.10E-07,1.10E-07,0,0,SWC_BTC
43,1586995200,2020/4/16,1.10E-07,1.10E-07,6979.98,0.000767798,1.10E-07,1.10E-07,0,0,SWC_BTC
44,1587081600,2020/4/17,1.10E-07,1.10E-07,7093.49,0.000780284,1.10E-07,1.10E-07,0,0,SWC_BTC
45,1587168000,2020/4/18,1.10E-07,1.10E-07,7111.5,0.000782265,1.10E-07,1.10E-07,0,0,SWC_BTC
46,1587254400,2020/4/19,1.10E-07,1.10E-07,7120.74,0.000783281,1.10E-07,1.10E-07,0,0,SWC_BTC
47,1587340800,2020/4/20,1.10E-07,1.10E-07,6930.75,0.000762383,1.10E-07,1.10E-07,0,0,SWC_BTC
48,1587427200,2020/4/21,1.00E-07,1.00E-07,6930.04,0.000693004,1.00E-07,1.00E-07,1955,0.0001955,SWC_BTC
49,1587513600,2020/4/22,1.00E-07,1.00E-07,6949.5,0.00069495,1.00E-07,1.00E-07,1955,0.0001955,SWC_BTC
50,1587600000,2020/4/23,1.00E-07,1.00E-07,7482.33,0.000748233,1.00E-07,1.00E-07,30000,0.003,SWC_BTC
51,1587686400,2020/4/24,1.00E-07,1.00E-07,7395,0.0007395,1.00E-07,1.00E-07,30000,0.003,SWC_BTC
52,1587772800,2020/4/25,1.00E-07,1.00E-07,7538.67,0.000753867,1.00E-07,1.00E-07,0,0,SWC_BTC
53,1587859200,2020/4/26,1.00E-07,1.00E-07,7610,0.000761,1.00E-07,1.00E-07,0,0,SWC_BTC
54,1587945600,2020/4/27,1.00E-07,1.00E-07,7774.47,0.000777447,1.00E-07,1.00E-07,30000,0.003,SWC_BTC
55,1588032000,2020/4/28,1.00E-07,1.00E-07,7564.16,0.000756416,1.00E-07,1.00E-07,30000,0.003,SWC_BTC
56,1588118400,2020/4/29,1.00E-07,1.00E-07,8816.66,0.000881666,1.00E-07,1.00E-07,30000,0.003,SWC_BTC
57,1588204800,2020/4/30,1.00E-07,1.00E-07,8683.56,0.000868356,1.00E-07,1.00E-07,30000,0.003,SWC_BTC
58,1588291200,2020/5/1,1.00E-07,1.00E-07,8826.96,0.000882696,1.00E-07,1.00E-07,0,0,SWC_BTC
59,1588377600,2020/5/2,1.00E-07,1.00E-07,8972.05,0.000897205,1.00E-07,1.00E-07,0,0,SWC_BTC
60,1588464000,2020/5/3,1.00E-07,1.00E-07,8894.16,0.000889416,1.00E-07,1.00E-07,0,0,SWC_BTC
61,1588550400,2020/5/4,1.00E-07,1.00E-07,8871.96,0.000887196,1.00E-07,1.00E-07,30000,0.003,SWC_BTC
62,1588636800,2020/5/5,1.00E-07,1.00E-07,8879.75,0.000887975,1.00E-07,1.00E-07,30000,0.003,SWC_BTC
63,1588723200,2020/5/6,1.00E-07,1.00E-07,9142.92,0.000914292,1.00E-07,1.00E-07,30000,0.003,SWC_BTC
64,1588809600,2020/5/7,1.00E-07,1.00E-07,9986.39,0.000998639,1.00E-07,1.00E-07,0,0,SWC_BTC
65,1588896000,2020/5/8,1.00E-07,4.00E-08,9800.01,0.000392,1.00E-07,4.00E-08,37500,0.0033,SWC_BTC
66,1588982400,2020/5/9,4.00E-08,4.00E-08,9684.15,0.000387366,4.00E-08,4.00E-08,0,0,SWC_BTC
67,1589068800,2020/5/10,4.00E-08,4.00E-08,8722.55,0.000348902,4.00E-08,4.00E-08,0,0,SWC_BTC
68,1589155200,2020/5/11,4.00E-08,4.00E-08,8561.94,0.000342478,4.00E-08,4.00E-08,0,0,SWC_BTC
69,1589241600,2020/5/12,3.00E-08,3.00E-08,8811.12,0.000264334,3.00E-08,3.00E-08,30000,0.0009,SWC_BTC
70,1589328000,2020/5/13,3.00E-08,3.00E-08,9324.98,0.000279749,3.00E-08,3.00E-08,0,0,SWC_BTC
71,1589414400,2020/5/14,3.00E-08,3.00E-08,9577.58,0.000287327,3.00E-08,3.00E-08,30000,0.0009,SWC_BTC
72,1589500800,2020/5/15,3.00E-08,3.00E-08,9316.17,0.000279485,3.00E-08,3.00E-08,0,0,SWC_BTC
73,1589587200,2020/5/16,3.00E-08,3.00E-08,9380.82,0.000281425,3.00E-08,3.00E-08,0,0,SWC_BTC
74,1589673600,2020/5/17,3.00E-08,3.00E-08,9680.16,0.000290405,3.00E-08,3.00E-08,0,0,SWC_BTC
75,1589760000,2020/5/18,3.00E-08,3.00E-08,9733.93,0.000292018,3.00E-08,3.00E-08,30000,0.0009,SWC_BTC
76,1589846400,2020/5/19,3.00E-08,3.00E-08,9775.53,0.000293266,3.00E-08,3.00E-08,30000,0.0009,SWC_BTC
