,timestamp,,open_price,highest_price,lowest_price,current_price,volume,market_name
49,1.56116E+12,2019/6/22,0.0274,0.028,0.0274,0.028,13041,BCT_USDT
50,1.56125E+12,2019/6/23,0.029,0.029,0.0271,0.0276,34607,BCT_USDT
51,1.56133E+12,2019/6/24,0.0288,0.0293,0.027,0.0293,54085,BCT_USDT
52,1.56142E+12,2019/6/25,0.0293,0.0293,0.0293,0.0293,163,BCT_USDT
53,1.56151E+12,2019/6/26,0.0293,0.031,0.0293,0.031,193706,BCT_USDT
54,1.56159E+12,2019/6/27,0.0315,0.035,0.0315,0.0333,91634,BCT_USDT
55,1.56168E+12,2019/6/28,0.0281,0.0281,0.0266,0.028,72781,BCT_USDT
56,1.56177E+12,2019/6/29,0.0277,0.0277,0.0265,0.0265,56588,BCT_USDT
57,1.56185E+12,2019/6/30,0.0265,0.0265,0.0265,0.0265,0,BCT_USDT
58,1.56194E+12,2019/7/1,0.026,0.026,0.026,0.026,22113,BCT_USDT
59,1.56203E+12,2019/7/2,0.027,0.027,0.027,0.027,45197,BCT_USDT
60,1.56211E+12,2019/7/3,0.027,0.027,0.0265,0.0265,34420,BCT_USDT
61,1.5622E+12,2019/7/4,0.0265,0.0265,0.0265,0.0265,0,BCT_USDT
62,1.56228E+12,2019/7/5,0.0265,0.0265,0.0265,0.0265,0,BCT_USDT
63,1.56237E+12,2019/7/6,0.027,0.027,0.027,0.027,21937,BCT_USDT
64,1.56246E+12,2019/7/7,0.027,0.027,0.027,0.027,0,BCT_USDT
65,1.56254E+12,2019/7/8,0.027,0.027,0.027,0.027,111,BCT_USDT
66,1.56263E+12,2019/7/9,0.027,0.027,0.027,0.027,0,BCT_USDT
67,1.56272E+12,2019/7/10,0.0288,0.0288,0.027,0.027,12281,BCT_USDT
68,1.5628E+12,2019/7/11,0.027,0.027,0.027,0.027,0,BCT_USDT
69,1.56289E+12,2019/7/12,0.027,0.027,0.027,0.027,1968,BCT_USDT
70,1.56298E+12,2019/7/13,0.027,0.027,0.027,0.027,0,BCT_USDT
71,1.56306E+12,2019/7/14,0.027,0.027,0.027,0.027,0,BCT_USDT
72,1.56315E+12,2019/7/15,0.027,0.027,0.027,0.027,1991,BCT_USDT
