,open_time,,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
81,1.56367E+12,2019/7/21,0.1266,0.1628,0.1077,0.1579,545709.38,1.56375E+12,81765.37357,6191,3059,,0,VDUSDT
82,1.56375E+12,2019/7/22,0.1603,0.1625,0.0908,0.1477,550113.89,1.56384E+12,79798.16217,6313,3110,,0,VDUSDT
83,1.56384E+12,2019/7/23,0.1477,0.159,0.0942,0.151,569894.36,1.56393E+12,80926.51823,6451,3237,,0,VDUSDT
84,1.56393E+12,2019/7/24,0.1504,0.1516,0.0801,0.1474,504985.67,1.56401E+12,68417.34338,5779,2827,,0,VDUSDT
85,1.56401E+12,2019/7/25,0.1474,0.1515,0.0917,0.1471,556003.82,1.5641E+12,77096.91753,6416,3182,,0,VDUSDT
86,1.5641E+12,2019/7/26,0.1471,0.1512,0.0953,0.1356,577524.07,1.56419E+12,75786.17128,6356,3218,,0,VDUSDT
87,1.56419E+12,2019/7/27,0.1356,0.1402,0.09,0.1357,556751.32,1.56427E+12,71005.81701,6271,3061,,0,VDUSDT
88,1.56427E+12,2019/7/28,0.1365,0.1388,0.1012,0.1208,583642.98,1.56436E+12,75170.75667,6455,3266,,0,VDUSDT
89,1.56436E+12,2019/7/29,0.1198,0.1299,0.0929,0.1012,604708.04,1.56444E+12,70905.84576,6890,3504,,0,VDUSDT
90,1.56444E+12,2019/7/30,0.1012,0.1148,0.0915,0.1122,600442.05,1.56453E+12,65529.60758,6815,3346,,0,VDUSDT
91,1.56453E+12,2019/7/31,0.1098,0.1148,0.0956,0.1112,562092.95,1.56462E+12,62607.35228,6415,3227,,0,VDUSDT
92,1.56462E+12,2019/8/1,0.1112,0.1148,0.1057,0.1111,570126.08,1.5647E+12,64484.48162,6374,3249,,0,VDUSDT
93,1.5647E+12,2019/8/2,0.1111,0.1148,0.0934,0.1105,544433.78,1.56479E+12,59981.82368,6168,3084,,0,VDUSDT
94,1.56479E+12,2019/8/3,0.1118,0.1148,0.0728,0.1014,590025.87,1.56488E+12,60137.40282,6026,3029,,0,VDUSDT
95,1.56488E+12,2019/8/4,0.1014,0.1148,0.079,0.108,559092.52,1.56496E+12,58786.39399,6380,3184,,0,VDUSDT
96,1.56496E+12,2019/8/5,0.1076,0.1146,0.0738,0.1131,531387.83,1.56505E+12,53713.13209,6172,3098,,0,VDUSDT
97,1.56505E+12,2019/8/6,0.1131,0.1145,0.0799,0.1117,545501.79,1.56514E+12,57154.16142,5958,2979,,0,VDUSDT
98,1.56514E+12,2019/8/7,0.1117,0.1147,0.0847,0.1106,519031.17,1.56522E+12,55556.72785,5940,3049,,0,VDUSDT
99,1.56522E+12,2019/8/8,0.1106,0.1147,0.0707,0.1117,509253.68,1.56531E+12,53201.93919,5826,2910,,0,VDUSDT
100,1.56531E+12,2019/8/9,0.1117,0.1146,0.0553,0.1002,486166.04,1.5654E+12,48975.86029,5536,2768,,0,VDUSDT
101,1.5654E+12,2019/8/10,0.1004,0.1143,0.0651,0.0891,430398.27,1.56548E+12,42911.45188,5022,2523,,0,VDUSDT
102,1.56548E+12,2019/8/11,0.0903,0.1137,0.0501,0.0972,471769.16,1.56557E+12,43206.00733,5301,2659,,0,VDUSDT
103,1.56557E+12,2019/8/12,0.0968,0.0973,0.0613,0.0815,290191.3,1.56565E+12,25300.46143,3278,1653,,0,VDUSDT
104,1.56565E+12,2019/8/13,0.0831,0.0973,0.0654,0.0892,452085.87,1.56574E+12,38543.9721,5151,2640,,0,VDUSDT
105,1.56574E+12,2019/8/14,0.0892,0.1138,0.0653,0.0877,502474.37,1.56583E+12,47003.36881,5786,2992,,0,VDUSDT
106,1.56583E+12,2019/8/15,0.0958,0.1099,0.0539,0.0671,810051.46,1.56591E+12,61250.57609,9281,4544,,0,VDUSDT
107,1.56591E+12,2019/8/16,0.0671,0.1099,0.062,0.1061,576076.96,1.566E+12,44670.46409,6407,3283,,0,VDUSDT
108,1.566E+12,2019/8/17,0.1064,0.1098,0.0612,0.0931,504912.83,1.56609E+12,46055.04693,5696,2834,,0,VDUSDT
109,1.56609E+12,2019/8/18,0.0931,0.0947,0.0511,0.0812,818487.09,1.56617E+12,68218.15665,9060,4600,,0,VDUSDT
110,1.56617E+12,2019/8/19,0.0818,0.093,0.0533,0.0861,740826.31,1.56626E+12,62284.13807,8384,4195,,0,VDUSDT
111,1.56626E+12,2019/8/20,0.0837,0.0928,0.0501,0.0884,786232.28,1.56635E+12,63023.80502,8977,4516,,0,VDUSDT
112,1.56635E+12,2019/8/21,0.0881,0.0922,0.05,0.082,549327.06,1.56643E+12,42726.4831,6036,3025,,0,VDUSDT
113,1.56643E+12,2019/8/22,0.082,0.089,0.05,0.0861,568269.92,1.56652E+12,46220.83213,6290,3222,,0,VDUSDT
114,1.56652E+12,2019/8/23,0.0857,0.089,0.0593,0.089,269310.88,1.5666E+12,21990.10189,3058,1515,,0,VDUSDT
115,1.5666E+12,2019/8/24,0.0861,0.0888,0.0632,0.0836,719326.01,1.56669E+12,59740.68767,8148,4057,,0,VDUSDT
116,1.56669E+12,2019/8/25,0.086,0.0888,0.0559,0.0809,818754.81,1.56678E+12,64537.30285,9430,4711,,0,VDUSDT
117,1.56678E+12,2019/8/26,0.074,0.0888,0.055,0.0759,581217.87,1.56686E+12,47436.15593,6530,3329,,0,VDUSDT
118,1.56686E+12,2019/8/27,0.0759,0.0888,0.0615,0.0684,532549.71,1.56695E+12,44308.12677,5906,2932,,0,VDUSDT
119,1.56695E+12,2019/8/28,0.0687,0.0887,0.0581,0.0789,756545.98,1.56704E+12,60965.77508,8526,4276,,0,VDUSDT
120,1.56704E+12,2019/8/29,0.0792,0.0888,0.0565,0.0814,566257.34,1.56712E+12,45497.36914,6405,3175,,0,VDUSDT
121,1.56712E+12,2019/8/30,0.08,0.0875,0.056,0.0844,581484.88,1.56721E+12,47102.22914,6629,3293,,0,VDUSDT
122,1.56721E+12,2019/8/31,0.0844,0.0873,0.0553,0.0798,600084.64,1.5673E+12,45615.5274,6810,3393,,0,VDUSDT
123,1.5673E+12,2019/9/1,0.0798,0.0873,0.0559,0.0758,600883.99,1.56738E+12,45971.81391,6696,3349,,0,VDUSDT
124,1.56738E+12,2019/9/2,0.0758,0.0873,0.0553,0.0822,576841.24,1.56747E+12,43497.14234,6780,3365,,0,VDUSDT
125,1.56747E+12,2019/9/3,0.0822,0.0873,0.0554,0.0801,562882.86,1.56756E+12,44118.43386,6477,3203,,0,VDUSDT
126,1.56756E+12,2019/9/4,0.0801,0.0873,0.0564,0.0796,533135.24,1.56764E+12,41261.85905,6065,3080,,0,VDUSDT
127,1.56764E+12,2019/9/5,0.0792,0.0873,0.0557,0.0694,598560.47,1.56773E+12,45346.39491,6713,3453,,0,VDUSDT
128,1.56773E+12,2019/9/6,0.0757,0.0799,0.0552,0.0748,586286.2,1.56781E+12,42569.84268,6748,3369,,0,VDUSDT
129,1.56781E+12,2019/9/7,0.0772,0.08,0.0557,0.0761,822772.43,1.5679E+12,59349.26217,9344,4629,,0,VDUSDT
130,1.5679E+12,2019/9/8,0.0761,0.0799,0.0558,0.0646,176455.35,1.56799E+12,12302.53737,1958,992,,0,VDUSDT
131,1.56799E+12,2019/9/9,0.0633,0.0799,0.0553,0.0639,753506.69,1.56807E+12,53395.57214,8595,4338,,0,VDUSDT
132,1.56807E+12,2019/9/10,0.0609,0.08,0.0551,0.0675,741349.8,1.56816E+12,52205.00516,8353,4159,,0,VDUSDT
133,1.56816E+12,2019/9/11,0.0675,0.08,0.0552,0.0773,797760.96,1.56825E+12,57167.80165,9024,4527,,0,VDUSDT
134,1.56825E+12,2019/9/12,0.0773,0.0799,0.0551,0.0688,823423.38,1.56833E+12,55206.63069,9435,4705,,0,VDUSDT
135,1.56833E+12,2019/9/13,0.0688,0.0694,0.0552,0.0575,833221.48,1.56842E+12,53452.96873,9368,4737,,0,VDUSDT
136,1.56842E+12,2019/9/14,0.0592,0.0694,0.0552,0.0658,825420.85,1.56851E+12,53038.04558,9394,4599,,0,VDUSDT
137,1.56851E+12,2019/9/15,0.0661,0.0703,0.0553,0.0615,828151.73,1.56859E+12,52975.4825,9186,4699,,0,VDUSDT
138,1.56859E+12,2019/9/16,0.0615,0.0694,0.05,0.0665,839003.84,1.56868E+12,53154.84988,9327,4598,,0,VDUSDT
139,1.56868E+12,2019/9/17,0.0669,0.0694,0.0502,0.0661,831930.09,1.56876E+12,51247.77588,9373,4655,,0,VDUSDT
140,1.56876E+12,2019/9/18,0.0663,0.0695,0.0513,0.0601,824164.34,1.56885E+12,51218.78001,9466,4768,,0,VDUSDT
141,1.56885E+12,2019/9/19,0.0601,0.0695,0.0523,0.062,766165.73,1.56894E+12,48461.33472,8712,4323,,0,VDUSDT
142,1.56894E+12,2019/9/20,0.0626,0.0694,0.0523,0.0672,770799.91,1.56902E+12,49262.76204,8882,4389,,0,VDUSDT
143,1.56902E+12,2019/9/21,0.0672,0.0694,0.0525,0.0611,798786.22,1.56911E+12,50336.60114,9114,4621,,0,VDUSDT
144,1.56911E+12,2019/9/22,0.0611,0.0694,0.0543,0.0656,796968.65,1.5692E+12,50464.09581,9125,4617,,0,VDUSDT
145,1.5692E+12,2019/9/23,0.0661,0.0669,0.0502,0.0631,786061.96,1.56928E+12,47340.99079,9065,4505,,0,VDUSDT
146,1.56928E+12,2019/9/24,0.0631,0.0649,0.0501,0.0634,796125.22,1.56937E+12,47226.4698,8864,4383,,0,VDUSDT
147,1.56937E+12,2019/9/25,0.0634,0.0649,0.0408,0.0577,793054.73,1.56946E+12,46038.0917,8739,4335,,0,VDUSDT
148,1.56946E+12,2019/9/26,0.0577,0.0639,0.0469,0.0594,736098.97,1.56954E+12,40395.20344,8445,4230,,0,VDUSDT
149,1.56954E+12,2019/9/27,0.0578,0.0599,0.0469,0.0552,784863.15,1.56963E+12,43112.91591,8830,4439,,0,VDUSDT
150,1.56963E+12,2019/9/28,0.0552,0.0691,0.0469,0.0495,801149.79,1.56972E+12,44072.75897,8787,4408,,0,VDUSDT
151,1.56972E+12,2019/9/29,0.0495,0.0694,0.0469,0.0544,783325.85,1.5698E+12,48035.45219,8842,4426,,0,VDUSDT
152,1.5698E+12,2019/9/30,0.0536,0.0671,0.0471,0.057,691431.91,1.56989E+12,41208.93633,7804,3934,,0,VDUSDT
