,open_time,,open,high,low,close,volume,close time,Quote asset volume,Number of trades,oth,null,other,market_name
19,1.5717E+12,2019/10/22,8.70E-07,9.90E-07,2.50E-07,4.90E-07,8191443,1.57179E+12,5.81825857,10343,5111,,0,GCZBTC
20,1.57179E+12,2019/10/23,5.40E-07,9.90E-07,2.50E-07,7.80E-07,8029040,1.57188E+12,5.63490657,9989,4975,,0,GCZBTC
21,1.57188E+12,2019/10/24,7.70E-07,9.90E-07,2.50E-07,9.30E-07,8016352,1.57196E+12,5.8446189,10018,4987,,0,GCZBTC
22,1.57196E+12,2019/10/25,9.30E-07,9.90E-07,2.50E-07,7.60E-07,7572063,1.57205E+12,5.4183752,9377,4688,,0,GCZBTC
23,1.57205E+12,2019/10/26,7.60E-07,9.90E-07,3.70E-07,7.50E-07,7325150,1.57213E+12,5.43737272,9380,4710,,0,GCZBTC
24,1.57213E+12,2019/10/27,7.50E-07,9.90E-07,3.70E-07,9.90E-07,7672479,1.57222E+12,6.26132927,9481,4810,,0,GCZBTC
25,1.57222E+12,2019/10/28,9.70E-07,9.90E-07,2.50E-07,7.80E-07,6842519,1.57231E+12,5.62364533,8537,4266,,0,GCZBTC
26,1.57231E+12,2019/10/29,7.80E-07,9.90E-07,2.90E-07,8.20E-07,7471869,1.57239E+12,6.24456651,9307,4648,,0,GCZBTC
27,1.57239E+12,2019/10/30,7.80E-07,9.90E-07,3.30E-07,7.60E-07,2559584,1.57248E+12,1.87560174,3255,1660,,0,GCZBTC
28,1.57248E+12,2019/10/31,7.60E-07,9.90E-07,3.70E-07,6.90E-07,5216367,1.57257E+12,3.9023651,6513,3291,,0,GCZBTC
29,1.57257E+12,2019/11/1,7.00E-07,9.90E-07,4.30E-07,8.50E-07,8463005,1.57265E+12,6.54618945,10531,5247,,0,GCZBTC
30,1.57265E+12,2019/11/2,8.50E-07,9.90E-07,4.20E-07,8.30E-07,7691832,1.57274E+12,6.26296787,9695,4869,,0,GCZBTC
31,1.57274E+12,2019/11/3,8.10E-07,9.90E-07,2.80E-07,7.40E-07,8826552,1.57283E+12,6.58493735,10845,5412,,0,GCZBTC
32,1.57283E+12,2019/11/4,7.40E-07,9.90E-07,2.50E-07,9.90E-07,9008929,1.57291E+12,6.72972232,11413,5634,,0,GCZBTC
33,1.57291E+12,2019/11/5,9.90E-07,9.90E-07,2.60E-07,5.50E-07,8922938,1.573E+12,6.65151475,11003,5504,,0,GCZBTC
34,1.573E+12,2019/11/6,5.50E-07,9.90E-07,2.70E-07,8.00E-07,8102420,1.57308E+12,6.29303767,10041,5019,,0,GCZBTC
35,1.57308E+12,2019/11/7,8.00E-07,9.90E-07,3.30E-07,7.90E-07,8274372,1.57317E+12,6.47939023,10266,5135,,0,GCZBTC
36,1.57317E+12,2019/11/8,7.90E-07,9.90E-07,3.20E-07,7.30E-07,8315795,1.57326E+12,6.386907,10461,5261,,0,GCZBTC
37,1.57326E+12,2019/11/9,7.20E-07,9.90E-07,3.20E-07,5.40E-07,8760197,1.57334E+12,6.3524852,10883,5459,,0,GCZBTC
38,1.57334E+12,2019/11/10,5.40E-07,9.90E-07,3.30E-07,9.30E-07,8855910,1.57343E+12,6.660761,11074,5586,,0,GCZBTC
39,1.57343E+12,2019/11/11,9.10E-07,9.90E-07,3.20E-07,8.30E-07,8424265,1.57352E+12,6.12335614,10672,5268,,0,GCZBTC
40,1.57352E+12,2019/11/12,8.30E-07,9.90E-07,3.20E-07,9.70E-07,8484318,1.5736E+12,6.08959331,10532,5279,,0,GCZBTC
41,1.5736E+12,2019/11/13,9.70E-07,9.90E-07,3.30E-07,5.40E-07,3454476,1.57369E+12,2.70839224,4327,2129,,0,GCZBTC
42,1.57369E+12,2019/11/14,5.10E-07,9.90E-07,3.20E-07,9.40E-07,6922890,1.57378E+12,4.8949194,8544,4296,,0,GCZBTC
43,1.57378E+12,2019/11/15,9.40E-07,9.90E-07,3.60E-07,8.00E-07,8798970,1.57386E+12,7.37951989,10646,5276,,0,GCZBTC
44,1.57386E+12,2019/11/16,8.00E-07,9.90E-07,4.50E-07,9.90E-07,8997171,1.57395E+12,7.24614569,11041,5587,,0,GCZBTC
45,1.57395E+12,2019/11/17,6.50E-07,9.90E-07,4.50E-07,9.90E-07,8971812,1.57404E+12,6.93693301,11218,5629,,0,GCZBTC
46,1.57404E+12,2019/11/18,9.90E-07,9.90E-07,4.50E-07,6.90E-07,8909048,1.57412E+12,7.19143307,11244,5641,,0,GCZBTC
47,1.57412E+12,2019/11/19,6.90E-07,9.90E-07,2.80E-07,7.40E-07,8542665,1.57421E+12,6.16620806,10615,5369,,0,GCZBTC
48,1.57421E+12,2019/11/20,7.60E-07,9.90E-07,2.90E-07,9.50E-07,8635674,1.57429E+12,6.86510288,10777,5416,,0,GCZBTC
49,1.57429E+12,2019/11/21,9.50E-07,9.90E-07,3.20E-07,9.00E-07,8604944,1.57438E+12,6.77000408,10722,5369,,0,GCZBTC
50,1.57438E+12,2019/11/22,9.30E-07,9.90E-07,2.80E-07,7.40E-07,8336434,1.57447E+12,6.41677166,10257,5062,,0,GCZBTC
51,1.57447E+12,2019/11/23,7.40E-07,9.90E-07,3.70E-07,7.90E-07,7724072,1.57455E+12,5.86971397,9775,4900,,0,GCZBTC
52,1.57455E+12,2019/11/24,7.90E-07,9.90E-07,3.30E-07,6.90E-07,7730313,1.57464E+12,6.26698591,9675,4877,,0,GCZBTC
53,1.57464E+12,2019/11/25,7.00E-07,9.90E-07,3.30E-07,9.30E-07,7751477,1.57473E+12,5.90518231,9739,4882,,0,GCZBTC
54,1.57473E+12,2019/11/26,9.30E-07,9.90E-07,3.30E-07,7.90E-07,7723430,1.57481E+12,5.55432659,9639,4859,,0,GCZBTC
55,1.57481E+12,2019/11/27,7.90E-07,9.90E-07,3.30E-07,8.10E-07,7973177,1.5749E+12,5.99448731,10070,5078,,0,GCZBTC
56,1.5749E+12,2019/11/28,7.90E-07,9.90E-07,3.50E-07,7.20E-07,8255358,1.57499E+12,6.25020117,10161,5094,,0,GCZBTC
57,1.57499E+12,2019/11/29,7.20E-07,9.90E-07,3.70E-07,8.20E-07,6898717,1.57507E+12,5.28179573,8687,4432,,0,GCZBTC
58,1.57507E+12,2019/11/30,8.20E-07,9.90E-07,3.30E-07,8.10E-07,7406501,1.57516E+12,6.08332696,9097,4581,,0,GCZBTC
59,1.57516E+12,2019/12/1,8.10E-07,9.90E-07,3.60E-07,7.90E-07,7648056,1.57524E+12,6.07338337,9424,4736,,0,GCZBTC
60,1.57524E+12,2019/12/2,8.00E-07,9.90E-07,3.30E-07,9.60E-07,7909428,1.57533E+12,5.99656673,9896,4918,,0,GCZBTC
61,1.57533E+12,2019/12/3,9.60E-07,9.90E-07,3.30E-07,5.00E-07,8256878,1.57542E+12,5.84812595,10388,5256,,0,GCZBTC
62,1.57542E+12,2019/12/4,5.00E-07,9.90E-07,3.30E-07,5.50E-07,8559713,1.5755E+12,6.55909543,10736,5310,,0,GCZBTC
63,1.5755E+12,2019/12/5,5.50E-07,9.90E-07,3.30E-07,6.70E-07,8370406,1.57559E+12,6.57279201,10278,5112,,0,GCZBTC
64,1.57559E+12,2019/12/6,6.50E-07,9.90E-07,3.30E-07,6.30E-07,7478888,1.57568E+12,5.89545004,9529,4766,,0,GCZBTC
65,1.57568E+12,2019/12/7,6.30E-07,9.90E-07,3.30E-07,7.70E-07,7835943,1.57576E+12,5.84967489,9631,4833,,0,GCZBTC
66,1.57576E+12,2019/12/8,7.30E-07,9.90E-07,3.30E-07,8.50E-07,7963643,1.57585E+12,6.35155737,9839,4921,,0,GCZBTC
67,1.57585E+12,2019/12/9,8.50E-07,9.90E-07,3.60E-07,5.80E-07,7821837,1.57594E+12,5.86408967,9844,4936,,0,GCZBTC
68,1.57594E+12,2019/12/10,5.80E-07,9.90E-07,3.30E-07,5.50E-07,7981517,1.57602E+12,5.68712684,9971,4954,,0,GCZBTC
69,1.57602E+12,2019/12/11,5.80E-07,9.90E-07,3.30E-07,9.90E-07,6898031,1.57611E+12,4.74748867,8675,4271,,0,GCZBTC
70,1.57611E+12,2019/12/12,9.80E-07,9.90E-07,3.30E-07,7.90E-07,7345291,1.5762E+12,5.87161418,9346,4730,,0,GCZBTC
71,1.5762E+12,2019/12/13,8.00E-07,9.90E-07,3.50E-07,6.50E-07,3093674,1.57628E+12,2.22690302,3881,1918,,0,GCZBTC
