,time,open,close,highest,lowest,volume,amount,market_name
81,1569024000,0.00058379,0.00057749,0.00058808,0.00056983,9390379833.60590310,5441700.6196519143242741,BTTUSDT
82,1569110400,0.00057742,0.00055175,0.00058044,0.00054114,4058376818.38643384,2258195.6423758111625648,BTTUSDT
83,1569196800,0.00055208,0.00051379,0.00055380,0.00051160,3361664110.04351935,1793691.2592412900823294,BTTUSDT
84,1569283200,0.00051373,0.00042729,0.00052700,0.00038121,10552919072.38764837,5186879.2922018525801482,BTTUSDT
85,1569369600,0.00042731,0.00043190,0.00045085,0.00040447,15138339433.02583640,6444861.3726442332687020,BTTUSDT
86,1569456000,0.00043186,0.00042652,0.00044878,0.00040059,6780930916.02380759,2904781.8748815000503647,BTTUSDT
87,1569542400,0.00042647,0.00043293,0.00045831,0.00041395,13176762451.06053839,5628025.5019448145309874,BTTUSDT
88,1569628800,0.00043309,0.00043657,0.00044358,0.00042660,5015821870.95453659,2181258.5185898277343140,BTTUSDT
89,1569715200,0.00043660,0.00042354,0.00044221,0.00041515,8856864362.85306687,3811505.6597579865403732,BTTUSDT
90,1569801600,0.00042360,0.00041259,0.00042790,0.00038766,11353241766.41421427,4649190.7130365386094290,BTTUSDT
91,1569888000,0.00041252,0.00040939,0.00043462,0.00040487,6083850851.60669206,2536689.6025338659710170,BTTUSDT
92,1569974400,0.00040942,0.00043880,0.00043890,0.00040701,11050431445.13284129,4670661.6789664506779460,BTTUSDT
93,1570060800,0.00043878,0.00042375,0.00043989,0.00041200,5208274475.79730000,2198260.9257055133860000,BTTUSDT
94,1570147200,0.00042380,0.00042534,0.00055537,0.00041144,9440318290.18160000,3967364.0613543313060000,BTTUSDT
95,1570233600,0.00042536,0.00042687,0.00042902,0.00041644,8704891989.77490000,3689049.4099220524270000,BTTUSDT
96,1570320000,0.00042711,0.00040787,0.00042885,0.00040381,6443878849.61168633,2677395.5719546759078360,BTTUSDT
97,1570406400,0.00040789,0.00043594,0.00044273,0.00040481,10272418549.79817592,4326776.5235285411603088,BTTUSDT
98,1570492800,0.00043596,0.00043608,0.00055052,0.00043133,14322885157.14625530,6280208.4261084768440350,BTTUSDT
99,1570579200,0.00043611,0.00046079,0.00047412,0.00043305,4954511466.92320093,2247854.5566776255097220,BTTUSDT
100,1570665600,0.00046088,0.00045519,0.00047808,0.00044252,16033507785.59656373,7302443.4792681790413300,BTTUSDT
101,1570752000,0.00045540,0.00043459,0.00046089,0.00043399,8343941867.95236685,3682827.2400448536142388,BTTUSDT
102,1570838400,0.00043673,0.00043581,0.00045737,0.00043113,12291756172.95422082,5392340.5165979949036640,BTTUSDT
103,1570924800,0.00043579,0.00043619,0.00045478,0.00043472,10049635372.28824527,4437402.5813766766679160,BTTUSDT
104,1571011200,0.00043621,0.00043945,0.00064506,0.00042944,7821610850.10286233,3431200.1344141425014010,BTTUSDT
105,1571097600,0.00043947,0.00042515,0.00063095,0.00041847,10302368248.79909214,4472411.5696384565398941,BTTUSDT
106,1571184000,0.00042513,0.00040996,0.00042513,0.00040235,4852295307.07851747,2021087.1144411025041053,BTTUSDT
107,1571270400,0.00040994,0.00042166,0.00042565,0.00040112,3336103835.93089237,1388466.7725796490020300,BTTUSDT
108,1571356800,0.00042168,0.00041222,0.00042418,0.00039880,4319331295.04011929,1783733.5299276523655847,BTTUSDT
109,1571443200,0.00041211,0.00041497,0.00051014,0.00040709,4118750945.49413659,1709460.0399568347728280,BTTUSDT
110,1571529600,0.00041499,0.00041818,0.00042365,0.00040733,3181350146.80468987,1318777.0023746978822469,BTTUSDT
111,1571616000,0.00041816,0.00041661,0.00042983,0.00041217,4659788176.24667211,1942658.9355645453907600,BTTUSDT
112,1571702400,0.00041663,0.00040978,0.00041999,0.00040592,3652749994.44834984,1518275.4807577183278224,BTTUSDT
113,1571788800,0.00040976,0.00038205,0.00041430,0.00036956,5503817635.06635926,2158709.7066531765492087,BTTUSDT
114,1571875200,0.00038198,0.00038994,0.00039632,0.00037616,9854411360.44040000,3809003.0774921299540000,BTTUSDT
115,1571961600,0.00038996,0.00042640,0.00043302,0.00038511,9474420020.34797309,3785318.5447804429975050,BTTUSDT
116,1572048000,0.00042638,0.00041740,0.00044916,0.00040586,10301165461.31589639,4334846.4441549763650738,BTTUSDT
117,1572134400,0.00041615,0.00046526,0.00047642,0.00040882,15139326012.27361121,6585093.2158968711458093,BTTUSDT
118,1572220800,0.00046528,0.00046254,0.00052030,0.00044913,13752633737.94235558,6467828.9034145364422934,BTTUSDT
119,1572307200,0.00046252,0.00049716,0.00049716,0.00046000,12506168365.98928395,5892132.8033782023909890,BTTUSDT
120,1572393600,0.00049718,0.00046342,0.00051136,0.00045134,9029711728.51326477,4255219.1474469356542876,BTTUSDT
121,1572480000,0.00046340,0.00046077,0.00047530,0.00044319,5117717120.82230970,2354075.3967870630133942,BTTUSDT
122,1572566400,0.00046099,0.00045873,0.00046296,0.00044892,6863496402.38071367,3119942.5699708256348680,BTTUSDT
123,1572652800,0.00045871,0.00045794,0.00047101,0.00045707,4751517125.30378020,2197483.6309649298958715,BTTUSDT
124,1572739200,0.00045792,0.00045329,0.00046790,0.00044712,6440988965.67114451,2934462.0919105129339254,BTTUSDT
125,1572825600,0.00045327,0.00045895,0.00046245,0.00044436,8898107819.30526530,4034654.4199384986326188,BTTUSDT
126,1572912000,0.00045918,0.00045789,0.00046392,0.00044633,5781264948.27178044,2645914.4541663859808520,BTTUSDT
127,1572998400,0.00045791,0.00046970,0.00048000,0.00045589,8345206961.82404262,3907027.3652428808473733,BTTUSDT
128,1573084800,0.00046968,0.00045362,0.00046999,0.00044170,4643264185.72731639,2127114.8182825336771800,BTTUSDT
129,1573171200,0.00045336,0.00043759,0.00045878,0.00042717,5183148795.87275413,2295608.1509040761374006,BTTUSDT
130,1573257600,0.00043761,0.00043822,0.00044362,0.00043155,6445633834.84510000,2826558.6521160559710000,BTTUSDT
131,1573344000,0.00043817,0.00044625,0.00044940,0.00043434,4889255254.90706375,2162710.1715966513981790,BTTUSDT
132,1573430400,0.00044623,0.00043658,0.00045320,0.00043345,4496003736.50397620,1978042.2147699973964860,BTTUSDT
133,1573516800,0.00043660,0.00044301,0.00044499,0.00042184,4306448670.82490772,1873865.8328254384626280,BTTUSDT
134,1573603200,0.00044376,0.00043402,0.00044499,0.00042187,3971571502.06331899,1731963.7363966553922660,BTTUSDT
135,1573689600,0.00043400,0.00042598,0.00043813,0.00041892,3799629631.94820759,1626764.3021459786041710,BTTUSDT
136,1573776000,0.00042580,0.00041683,0.00043328,0.00040916,4067760362.16431213,1705638.4548429027091893,BTTUSDT
137,1573862400,0.00041685,0.00041886,0.00042203,0.00041361,5456742841.86250175,2282767.5249182475695340,BTTUSDT
