,time,open,close,high,low,volume,turnover,market_name
131,1581724800,0.0004654,0.0004199,0.0004949,0.0003704,1696109.8633,753.14414450728,MTV-KCS
132,1581638400,0.0004671,0.0004633,0.0004822,0.0004432,1151330.6442,529.8362953443,MTV-KCS
133,1581552000,0.0003997,0.0004664,0.0004849,0.0003941,2837242.99914274,1295.878199270113608,MTV-KCS
134,1581465600,0.0003874,0.0003997,0.0004116,0.0003858,999033.4604,401.01915325915,MTV-KCS
135,1581379200,0.0003895,0.0003873,0.000396,0.0003461,1299044.5082,481.21701597804,MTV-KCS
136,1581292800,0.0004264,0.0003901,0.0004343,0.0003754,694490.0521,276.10316134193,MTV-KCS
137,1581206400,0.0004307,0.0004288,0.0004692,0.000406,2237461.76226562,961.31097924201656,MTV-KCS
138,1581120000,0.0003685,0.0004319,0.0004438,0.00034,9038988.7732,3740.36346182054,MTV-KCS
139,1581033600,0.0003696,0.0003701,0.0003844,0.0003575,1798894.9339,658.4926131147,MTV-KCS
140,1580947200,0.0003592,0.0003696,0.0003912,0.000358,1120497.2263,407.94995960025,MTV-KCS
141,1580860800,0.0003563,0.0003592,0.0003635,0.0003481,606796.3302,216.0760576941,MTV-KCS
142,1580774400,0.0003524,0.0003563,0.0003743,0.0003468,701454.3533,252.23421610077,MTV-KCS
143,1580688000,0.00034,0.0003497,0.0004,0.0003385,2275669.9356,865.89626261119,MTV-KCS
144,1580601600,0.0003296,0.0003404,0.0003444,0.0003271,788924.6455,262.96833006986,MTV-KCS
145,1580515200,0.0003372,0.0003305,0.0003424,0.0003271,2334921.546,776.36160859129,MTV-KCS
146,1580428800,0.0003559,0.0003375,0.0003643,0.0003222,3030207.931,1056.46931655764,MTV-KCS
147,1580342400,0.0003603,0.0003563,0.0003772,0.000351,1003270.6201,361.6503193901,MTV-KCS
148,1580256000,0.0003635,0.0003579,0.0003677,0.0003492,824850.9791,298.50860020409,MTV-KCS
149,1580169600,0.0003716,0.0003637,0.0003744,0.0003612,423480.6502,155.33483417467,MTV-KCS
150,1580083200,0.0004017,0.0003722,0.0004041,0.0003603,730820.1381,280.03604814212,MTV-KCS
151,1579996800,0.0004259,0.0004017,0.0004438,0.0003933,981076.12289164,399.438386540759832,MTV-KCS
152,1579910400,0.0004149,0.0004239,0.0004363,0.0003977,1384298.8323,570.40257305959,MTV-KCS
153,1579824000,0.0003888,0.000414,0.0004377,0.000345,1890336.2978,761.21698806627,MTV-KCS
154,1579737600,0.0003653,0.0003881,0.0004131,0.0003602,697524.62647478,267.018289416063644,MTV-KCS
155,1579651200,0.0003842,0.0003643,0.0003842,0.0003598,1431671.6494,527.78741627317,MTV-KCS
156,1579564800,0.0003842,0.0003873,0.0003888,0.0003766,105334.8925,40.18312456662,MTV-KCS
157,1579478400,0.0003856,0.0003822,0.0003921,0.0003782,451613.78359742,175.4683473002438,MTV-KCS
158,1579392000,0.0003755,0.0003854,0.000389,0.0003711,354264.0647,134.95715199043,MTV-KCS
159,1579305600,0.0003488,0.0003732,0.0003846,0.000345,704354.28454152,251.703832407074456,MTV-KCS
160,1579219200,0.0003428,0.0003424,0.000355,0.0003314,691431.1429,235.33866338513,MTV-KCS
161,1579132800,0.0003959,0.0003455,0.0003971,0.0003246,2489820.2301,856.29612393426,MTV-KCS
162,1579046400,0.0003971,0.0003952,0.0004052,0.0003815,1001197.7224,392.93768726272,MTV-KCS
163,1578960000,0.0004276,0.0003971,0.0004657,0.0003902,2816115.3012,1150.1216481993,MTV-KCS
164,1578873600,0.0004362,0.0004285,0.0004421,0.0004096,1267601.43236442,542.290883115039032,MTV-KCS
165,1578787200,0.0004081,0.0004361,0.0004536,0.0004022,1513176.48876602,647.699499580417236,MTV-KCS
166,1578700800,0.0004063,0.0004085,0.0004218,0.000393,718553.98388263,292.714221975504682,MTV-KCS
167,1578614400,0.0004301,0.0004045,0.000437,0.0003988,672683.0987,279.80476971348,MTV-KCS
168,1578528000,0.0004276,0.0004319,0.0004398,0.000416,1360602.9176,588.99334303684,MTV-KCS
169,1578441600,0.0004012,0.0004247,0.0004506,0.0003729,3194029.8948,1264.00912766353,MTV-KCS
170,1578355200,0.0004558,0.0004012,0.0004625,0.0003985,3118089.3416,1305.55037591469,MTV-KCS
171,1578268800,0.000476,0.0004595,0.0004897,0.0004368,2063534.3153,941.42957425252,MTV-KCS
172,1578182400,0.0005192,0.0004734,0.0005224,0.0004734,1224914.7238,610.16807384464,MTV-KCS
173,1578096000,0.0005632,0.0005224,0.000586,0.0005129,4387975.40033712,2416.20482974922856,MTV-KCS
174,1578009600,0.0006381,0.0005608,0.0006522,0.000555,20238302.1297,12522.51698962486,MTV-KCS
175,1577923200,0.0006414,0.0006372,0.000647,0.0006201,1420246.6222,891.39632445678,MTV-KCS
176,1577836800,0.0006474,0.0006368,0.0006474,0.0006226,1638239.664,1037.13377705931,MTV-KCS
177,1577750400,0.0006448,0.0006474,0.0006506,0.0006313,130201.0241,83.74651942464,MTV-KCS
178,1577664000,0.0006419,0.0006419,0.0006515,0.0006305,32752.8784,20.93219596821,MTV-KCS
179,1577577600,0.0006565,0.0006457,0.0006565,0.00061,890887.2741,565.40309638678,MTV-KCS
180,1577491200,0.0006724,0.0006541,0.0006735,0.000647,17326.3567,11.37441374618,MTV-KCS
181,1577404800,0.0006666,0.0006718,0.0006718,0.0006595,14291.4308,9.51418977531,MTV-KCS
182,1577318400,0.0006609,0.0006686,0.0006923,0.0006595,127056.027,85.99477877411,MTV-KCS
183,1577232000,0.0006343,0.0006595,0.0006616,0.0006263,138776.2483,90.03075770572,MTV-KCS
184,1577145600,0.0006343,0.000631,0.0006666,0.0006267,280672.4737,180.1748598873,MTV-KCS
185,1577059200,0.0006419,0.0006326,0.0006767,0.0006163,260795.8073,166.67491788891,MTV-KCS
186,1576972800,0.0006838,0.0006428,0.0006838,0.0006408,326418.7506,216.87106810732,MTV-KCS
187,1576886400,0.0006647,0.0006816,0.0007199,0.0006647,952957.7918,677.62962742188,MTV-KCS
188,1576800000,0.000653,0.0006632,0.0007125,0.00065,382163.8514,259.53363812185,MTV-KCS
189,1576713600,0.0006381,0.0006515,0.0007025,0.0006314,661652.5052,438.04558126454,MTV-KCS
190,1576627200,0.0006857,0.0006381,0.0006882,0.0006263,318300.3808,208.79566574842,MTV-KCS
191,1576540800,0.0006515,0.0006868,0.0006979,0.0006253,1065793.634,692.85633701076,MTV-KCS
192,1576454400,0.00068,0.0006515,0.0007042,0.0006448,539487.27333589,363.132680360067038,MTV-KCS
193,1576368000,0.0006838,0.0006742,0.000704,0.0006742,514008.6351,351.33814378548,MTV-KCS
194,1576281600,0.0006787,0.0006779,0.0007183,0.0006779,705878.0142,486.51888931627,MTV-KCS
195,1576195200,0.0007222,0.0006787,0.0007367,0.0006666,1630528.9825,1129.38109701004,MTV-KCS
196,1576108800,0.0007612,0.0007224,0.0008056,0.0007129,1046757.911,801.12229751926,MTV-KCS
197,1576022400,0.0008378,0.0007612,0.0008714,0.0007249,3262618.8211,2505.48087240489,MTV-KCS
198,1575936000,0.0009034,0.000836,0.0009035,0.0008094,1644781.4871,1394.82623510451,MTV-KCS
199,1575849600,0.0008959,0.000904,0.0009653,0.0008534,793350.67535773,727.699978305955767,MTV-KCS
200,1575763200,0.0007469,0.0008959,0.0009857,0.0007408,1942760.1085254,1704.21117126428758,MTV-KCS
201,1575676800,0.0007816,0.0007461,0.0007828,0.0006918,1513688.28584462,1108.632666155459384,MTV-KCS
202,1575590400,0.0008228,0.0007829,0.0008854,0.0007693,1081910.5139,883.20321050054,MTV-KCS
