asset,day,close,volume
celer-network,2019-09-17,0.0056677414,5079165.9884811
celer-network,2019-09-18,0.0059164898,5987029.91266378
celer-network,2019-09-19,0.0057006045,5220477.29935992
celer-network,2019-09-20,0.0056343656,3913552.01395033
celer-network,2019-09-21,0.0058306204,3438658.55930328
celer-network,2019-09-22,0.005675871,3446964.35117465
celer-network,2019-09-23,0.0056445915,4280828.86990541
celer-network,2019-09-24,0.0045813234,8668766.56897596
celer-network,2019-09-25,0.0045725876,4815224.97057907
celer-network,2019-09-26,0.004390242,3620628.11249577
celer-network,2019-09-27,0.004423974,3235598.87287777
celer-network,2019-09-28,0.0044599813,2821133.94787116
celer-network,2019-09-29,0.004394656,2429003.83359237
celer-network,2019-09-30,0.004683675,4286276.47141171
celer-network,2019-10-01,0.0045205904,3728166.56087678
celer-network,2019-10-02,0.004603118,2149639.84844509
celer-network,2019-10-03,0.0045191767,2528496.87095603
celer-network,2019-10-04,0.0045872233,2384607.34858953
celer-network,2019-10-05,0.004502917,2459056.42193121
celer-network,2019-10-06,0.004450926,2349157.68802073
celer-network,2019-10-07,0.004691799,3437226.02685566
celer-network,2019-10-08,0.0050110808,5493745.96661032
celer-network,2019-10-09,0.00487827,7603836.80541646
celer-network,2019-10-10,0.0049530854,5830684.72240743
celer-network,2019-10-11,0.0049797515,7562039.19777734
celer-network,2019-10-12,0.0053691957,8528368.4988011
celer-network,2019-10-13,0.0051050875,5220405.69427536
celer-network,2019-10-14,0.005203096,6136305.65824883
celer-network,2019-10-15,0.004908738,6716763.87599419
celer-network,2019-10-16,0.0046148794,6103450.41997802
celer-network,2019-10-17,0.004720206,4864787.82287046
celer-network,2019-10-18,0.004513127,4928225.87519583
celer-network,2019-10-19,0.004326303,4547572.75491799
celer-network,2019-10-20,0.0043803537,5154477.13032875
celer-network,2019-10-21,0.0044208663,5151875.55792105
celer-network,2019-10-22,0.004312618,5608602.59691041
celer-network,2019-10-23,0.0039105634,5285783.44046676
celer-network,2019-10-24,0.0039382656,3977158.72342574
celer-network,2019-10-25,0.0041870535,6012413.24963111
celer-network,2019-10-26,0.003872632,6394197.04152033
celer-network,2019-10-27,0.0042086234,4850895.05154451
celer-network,2019-10-28,0.0042304303,6385063.86727099
celer-network,2019-10-29,0.0042314446,4536817.30285205
celer-network,2019-10-30,0.004205314,4059039.02722491
celer-network,2019-10-31,0.0041857837,4349774.42196954
celer-network,2019-11-01,0.004245974,4653030.79746663
celer-network,2019-11-02,0.004320069,4740926.61349647
