,close,currencyVol,high,low,open,time,vol,market_name
50,8.5e-07,0,8.6e-07,6.5e-07,6.5e-07,1585612800000,146921969.3324,btc-eved
51,8.9e-07,0,9e-07,8.2e-07,8.5e-07,1585699200000,183753378.817,btc-eved
52,7.9e-07,0,9e-07,6.2e-07,8.9e-07,1585785600000,331110594.0657,btc-eved
53,7.9e-07,0,8.1e-07,6.5e-07,7.9e-07,1585872000000,222025269.0179,btc-eved
54,7.6e-07,0,8e-07,7.5e-07,7.9e-07,1585958400000,232095960.7437,btc-eved
55,7.5e-07,0,8e-07,7.1e-07,7.7e-07,1586044800000,255763298.7254,btc-eved
56,7.7e-07,0,8e-07,5.4e-07,7.5e-07,1586131200000,249196723.4126,btc-eved
57,7.5e-07,0,8.1e-07,7.5e-07,7.7e-07,1586217600000,409767492.837,btc-eved
58,7.9e-07,0,8.1e-07,7.5e-07,7.5e-07,1586304000000,296796078.0702,btc-eved
59,8.4e-07,0,8.8e-07,7.6e-07,7.7e-07,1586390400000,244280914.127,btc-eved
60,7.7e-07,0,8.7e-07,7.6e-07,8.6e-07,1586476800000,393204246.2925,btc-eved
61,6.2e-07,0,1.07e-06,5.6e-07,7.9e-07,1586563200000,191485994.4715,btc-eved
62,7.8e-07,0,9.5e-07,5.7e-07,6.2e-07,1586649600000,139970746.0429,btc-eved
63,7.1e-07,0,7.9e-07,5.7e-07,7.8e-07,1586736000000,135252137.7635,btc-eved
64,7e-07,0,7.1e-07,7e-07,7e-07,1586822400000,47.0492,btc-eved
65,7.1e-07,0,7.1e-07,7.1e-07,7.1e-07,1586908800000,46.0,btc-eved
66,6.7e-07,0,7.1e-07,6e-07,7.1e-07,1586995200000,64592930.1559,btc-eved
67,6.8e-07,0,7e-07,6.6e-07,6.7e-07,1587081600000,278364168.1393,btc-eved
68,5.3e-07,0,7e-07,5.3e-07,6.8e-07,1587168000000,244031386.1234,btc-eved
69,7.1e-07,0,7.6e-07,4.6e-07,5.4e-07,1587254400000,183986132.0855,btc-eved
70,6.5e-07,0,7.3e-07,5.1e-07,7.1e-07,1587340800000,178528212.721,btc-eved
71,7.2e-07,0,7.2e-07,6.1e-07,6.6e-07,1587427200000,180523695.2242,btc-eved
72,6.8e-07,0,7e-07,6.5e-07,7e-07,1587513600000,192893745.9635,btc-eved
73,6.2e-07,0,6.5e-07,5.5e-07,6.5e-07,1587600000000,123286937.6725,btc-eved
74,5.8e-07,0,6.4e-07,5.5e-07,6.2e-07,1587686400000,327460454.7067,btc-eved
75,5.9e-07,0,6.6e-07,5.8e-07,5.8e-07,1587772800000,490486333.0093,btc-eved
76,6.4e-07,0,6.5e-07,5.9e-07,5.9e-07,1587859200000,456807123.9913,btc-eved
77,6.9e-07,0,7e-07,6.2e-07,6.5e-07,1587945600000,588885440.5161,btc-eved
78,6.7e-07,0,7e-07,6.3e-07,6.9e-07,1588032000000,463010367.176,btc-eved
79,6.2e-07,0,7e-07,5.8e-07,6.7e-07,1588118400000,385708570.5097,btc-eved
80,6.3e-07,0,6.5e-07,5.8e-07,6.2e-07,1588204800000,242168529.8009,btc-eved
81,6.9e-07,0,7e-07,5.8e-07,6.3e-07,1588291200000,582118622.6413,btc-eved
82,9.4e-07,0,1.09e-06,6.7e-07,6.9e-07,1588377600000,536103755.2363,btc-eved
83,8.5e-07,0,1.23e-06,6.1e-07,9.8e-07,1588464000000,340241666.4113,btc-eved
84,9.5e-07,0,9.7e-07,7.1e-07,8.5e-07,1588550400000,311224120.709,btc-eved
85,9.3e-07,0,9.5e-07,9.3e-07,9.5e-07,1588636800000,441682141.3929,btc-eved
86,8.4e-07,0,9.5e-07,8.2e-07,9.5e-07,1588723200000,369763748.7984,btc-eved
87,1.08e-06,0,1.16e-06,6.6e-07,8.4e-07,1588809600000,505899073.1959,btc-eved
88,7.5e-07,0,1.08e-06,6.6e-07,9.7e-07,1588896000000,276996623.6601,btc-eved
89,8.5e-07,0,8.8e-07,7.2e-07,7.5e-07,1588982400000,479835490.9607,btc-eved
90,6.6e-07,0,9.3e-07,5.4e-07,8.5e-07,1589068800000,245390258.928,btc-eved
91,6.6e-07,0,8.9e-07,4.9e-07,6.6e-07,1589155200000,325798517.7136,btc-eved
92,6.3e-07,0,6.9e-07,5.7e-07,6.6e-07,1589241600000,318249261.392,btc-eved
93,6.7e-07,0,6.8e-07,6.2e-07,6.3e-07,1589328000000,380441638.0583,btc-eved
94,7.4e-07,0,9.3e-07,6e-07,6.6e-07,1589414400000,490104264.7925,btc-eved
95,9.9e-07,0,1.15e-06,7.3e-07,7.7e-07,1589500800000,323456064.0989,btc-eved
96,8e-07,0,1.19e-06,8e-07,1.03e-06,1589587200000,494496466.8825,btc-eved
97,1.85e-06,0,2.03e-06,7.9e-07,8.1e-07,1589673600000,379990664.5594,btc-eved
98,2.14e-06,0,2.72e-06,1.01e-06,1.85e-06,1589760000000,539399444.8262,btc-eved
99,3.81e-06,0,4.2e-06,2.12e-06,2.14e-06,1589846400000,416158947.7606,btc-eved
100,4.07e-06,0,7.44e-06,2.58e-06,3.86e-06,1589932800000,353303375.3259,btc-eved
101,3.22e-06,0,4.57e-06,2.2e-06,3.79e-06,1590019200000,405403722.3145,btc-eved
102,3.32e-06,0,4.98e-06,2.2e-06,3.2e-06,1590105600000,406850715.1094,btc-eved
103,4.13e-06,0,5.05e-06,3.3e-06,3.41e-06,1590192000000,399794283.8865,btc-eved
104,4.42e-06,0,4.89e-06,3.52e-06,4.12e-06,1590278400000,424570823.6368,btc-eved
105,4.46e-06,0,4.77e-06,3.63e-06,4.42e-06,1590364800000,366585074.8966,btc-eved
106,4.62e-06,0,4.88e-06,4.26e-06,4.42e-06,1590451200000,324425898.3497,btc-eved
107,5.34e-06,0,5.41e-06,4.26e-06,4.62e-06,1590537600000,317016250.8786,btc-eved
108,4.58e-06,0,6.1e-06,4.45e-06,5.27e-06,1590624000000,196478551.6744,btc-eved
109,4.91e-06,0,5.24e-06,4.36e-06,4.72e-06,1590710400000,205589286.5458,btc-eved
110,4.87e-06,0,4.99e-06,4.43e-06,4.78e-06,1590796800000,276407815.4801,btc-eved
111,4.11e-06,0,5.21e-06,3.7e-06,4.88e-06,1590883200000,278672537.1292,btc-eved
112,3.53e-06,0,5.33e-06,2.5e-06,4.12e-06,1590969600000,253919320.9574,btc-eved
113,2.86e-06,0,3.64e-06,2.55e-06,3.53e-06,1591056000000,362811304.4657,btc-eved
114,3.06e-06,0,4.05e-06,2.34e-06,2.86e-06,1591142400000,207002932.2418,btc-eved
115,3.43e-06,0,4e-06,2.76e-06,3.07e-06,1591228800000,160803251.8352,btc-eved
116,2.54e-06,0,3.88e-06,2.5e-06,3.8e-06,1591315200000,305594207.5872,btc-eved
117,2.31e-06,0,2.88e-06,1.11e-06,2.57e-06,1591401600000,252787974.0781,btc-eved
118,2.17e-06,0,2.59e-06,1.72e-06,2.32e-06,1591488000000,228657045.5378,btc-eved
119,2e-06,0,2.34e-06,2e-06,2.23e-06,1591574400000,227685437.4686,btc-eved
120,2.13e-06,0,2.21e-06,2e-06,2e-06,1591660800000,16528092.7438,btc-eved
121,2.15e-06,0,2.62e-06,1.83e-06,2.07e-06,1591747200000,262687346.4401,btc-eved
122,2.21e-06,0,2.43e-06,1.83e-06,2.29e-06,1591833600000,316993491.2154,btc-eved
123,2.26e-06,0,2.29e-06,1.55e-06,2.16e-06,1591920000000,407660547.8347,btc-eved
124,2.03e-06,0,2.26e-06,1.66e-06,2.26e-06,1592006400000,335528356.2173,btc-eved
125,3.28e-06,0,4.83e-06,1.85e-06,2.03e-06,1592092800000,307210269.3881,btc-eved
126,3.29e-06,0,4.05e-06,2.48e-06,3.12e-06,1592179200000,387282605.8745,btc-eved
127,3.18e-06,0,3.51e-06,2.4e-06,3.48e-06,1592265600000,345712437.3096,btc-eved
128,3.2e-06,0,3.5e-06,2.8e-06,3.12e-06,1592352000000,444440279.0473,btc-eved
129,2.68e-06,0,3.2e-06,2.57e-06,3.2e-06,1592438400000,332650665.1962,btc-eved
130,3.09e-06,0,3.1e-06,2.67e-06,2.68e-06,1592524800000,361709218.3735,btc-eved
131,3.25e-06,0,3.33e-06,3.05e-06,3.09e-06,1592611200000,335911229.5788,btc-eved
132,3.06e-06,0,3.26e-06,2.97e-06,3.25e-06,1592697600000,217038645.2427,btc-eved
133,3.46e-06,0,3.89e-06,2e-06,3.06e-06,1592784000000,288501031.5974,btc-eved
134,3.67e-06,0,3.87e-06,3.42e-06,3.46e-06,1592870400000,262657301.1633,btc-eved
135,3.66e-06,0,3.9e-06,3.36e-06,3.75e-06,1592956800000,299340436.8862,btc-eved
136,3.44e-06,0,3.74e-06,2.68e-06,3.66e-06,1593043200000,186456904.7107,btc-eved
137,3.16e-06,0,3.44e-06,3.01e-06,3.44e-06,1593129600000,237573921.063,btc-eved
